Description,Brand,Category,SKU,Item Number,Price,URL,Spec: Item,Spec: Urinal Product Type,Spec: Brand and Series,Spec: Urinal Mounting Style,Spec: Tank/Flush Valve Mfr. Model Number,Spec: Gallons per Flush,Spec: Flushing Method,Spec: Flush Valve Type Included,Spec: Flush Handle,Spec: Urinal Material,Spec: Color,Spec: Spud Location,Spec: Spud Connection Size,Spec: Includes Flush Valve Cover,Spec: ADA Compliance,Main_Category
"Tire Patch Kit, 56 Pc.",SLIME,"Product Categories/Fleet & Vehicle Maintenance/Brakes, Tires, & Wheels Maintenance/Tire & Wheel Equipment, Parts & Tools/Tire Repair Patches and Plugs",33M139,23153411,16.16,https://www.grainger.com/product/SLIME-Tire-Patch-Kit-33M139,Off-Road Tire Repair Kit,,,,,,,,,,,,,,,Fleet & Vehicle Maintenance
Sealed Marker Lamp Pigtail,GROTE,Product Categories/Fleet & Vehicle Maintenance/Vehicle Electrical/Vehicle Wiring/Electrical Harnesses and Pigtails,2CWZ3,39121409,2.79,https://www.grainger.com/product/GROTE-Sealed-Marker-Lamp-Pigtail-2CWZ3,Sealed Marker Lamp Pigtail,,,,,,,,,,,,,,,Fleet & Vehicle Maintenance
"2 AWG Battery Splice, Tin Color, Tin/Copper Splice",GROTE,"Product Categories/Fleet & Vehicle Maintenance/Vehicle Electrical/Vehicle Batteries, Chargers, Jump Starters, Inverters & Testers/Automotive Battery Equipment/Automotive Battery Accessories and Parts/Automotive Battery Splices",2FDW5,26111703,5.92,https://www.grainger.com/product/GROTE-Battery-Splice-2FDW5,Battery Splice,,,,,,,,,,Tin,,,,,Fleet & Vehicle Maintenance
Light Duty Automatic Belt Tensioner,GATES,"Product Categories/Fleet & Vehicle Maintenance/Vehicle Engine, Radiator & Exhaust Maintenance/Vehicle Engine Maintenance/Belt Tensioners and Tension Pulleys",45VE81,26111805,94.1,https://www.grainger.com/product/GATES-Belt-Tensioner-45VE81,Automatic Belt Tensioner,,,,,,,,,,,,,,,Fleet & Vehicle Maintenance
"Spot Light, 5100lm, Rectangular, LED",RAILHEAD GEAR,Product Categories/Fleet & Vehicle Maintenance/Vehicle Lighting/Exterior Vehicle Lighting/Vehicle Work Lights,20HJ61,39111516,233.76,https://www.grainger.com/product/RAILHEAD-GEAR-Spot-Light-20HJ61,Spot Light,,,,,,,,,,,,,,,Fleet & Vehicle Maintenance
"Air Filter, Round, 20 13/32 in Height, 20 13/32 in Length, 4 9/16 in, Boot 5-3/4 in Outside Dia.",BALDWIN FILTERS,"Product Categories/Fleet & Vehicle Maintenance/Vehicle Engine, Radiator & Exhaust Maintenance/Vehicle Engine Maintenance/Automotive Air Filters",4ZTZ2,40161505,49.79,https://www.grainger.com/product/BALDWIN-FILTERS-Inner-Air-Filter-4ZTZ2,Air Filter,,,,,,,,,,,,,,,Fleet & Vehicle Maintenance
"90Deg Male Elbow, 3/8 x 1/8 In",PARKER,"Product Categories/Fleet & Vehicle Maintenance/Brakes, Tires, & Wheels Maintenance/Vehicle Brake Parts, Tools & Fluids/Brass Air Brake Connectors and Accessories",11G290,40142604,4.64,https://www.grainger.com/product/PARKER-90Deg-Male-Elbow-11G290,"Male Elbow,90 Degrees",,,,,,,,,,,,,,,Fleet & Vehicle Maintenance
"Perimeter Light, 3"" L, 1-1/2"" W",CODE 3,Product Categories/Fleet & Vehicle Maintenance/Vehicle Lighting/Exterior Vehicle Lighting/Emergency Vehicle Warning Lights,421G20,25172901,188.5,https://www.grainger.com/product/CODE-3-Perimeter-Light-421G20,Perimeter Light,,,,,,,,,,,,,,,Fleet & Vehicle Maintenance
"Brake Line, Inverted, 8In",EATON WEATHERHEAD,"Product Categories/Fleet & Vehicle Maintenance/Brakes, Tires, & Wheels Maintenance/Vehicle Brake Parts, Tools & Fluids/Brake Lines",32WH35,25171716,6.72,https://www.grainger.com/product/EATON-WEATHERHEAD-Brake-Line-32WH35,Brake Line,,,,,,,,,,,,,,,Fleet & Vehicle Maintenance
"Torque Stick Extension,  21mm,  80 ft/lbs.",STEELMAN,"Product Categories/Fleet & Vehicle Maintenance/Brakes, Tires, & Wheels Maintenance/Tire & Wheel Equipment, Parts & Tools/Wheel Torque Sockets",20C911,27112720,42.18,https://www.grainger.com/product/STEELMAN-Torque-Stick-Extension-20C911,Torque Stick Extension,,,,,,,,,,Orange,,,,,Fleet & Vehicle Maintenance
"Warning Light, 7-3/4"" L, 4-1/2"" W",CODE 3,Product Categories/Fleet & Vehicle Maintenance/Vehicle Lighting/Exterior Vehicle Lighting/Emergency Vehicle Warning Lights,421G83,39111706,185.52,https://www.grainger.com/product/CODE-3-Warning-Light-421G83,Warning Light,,,,,,,,,,,,,,,Fleet & Vehicle Maintenance
